Hypermethylated_DEGs,Unnamed: 0,GO_term,ONTOLOGY,TERM,N,DE,P.DE,FDR
HLA-C,61,GO:0012507,CC,ER to Golgi transport vesicle membrane,59,1,0.0236155000535217,1
HLA-C,65,GO:0002479,BP,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",75,1,0.0247156725956677,1
HLA-C,70,GO:0050776,BP,regulation of immune response,863,2,0.0258793847076465,1
HLA-C,71,GO:0042590,BP,antigen processing and presentation of exogenous peptide antigen via MHC class I,80,1,0.0260305665735523,1
HLA-C,75,GO:0030670,CC,phagocytic vesicle membrane,75,1,0.0279587560265656,1
HLA-C,79,GO:0055038,CC,recycling endosome membrane,85,1,0.0306229839263887,1
HLA-C,81,GO:0002474,BP,antigen processing and presentation of peptide antigen via MHC class I,99,1,0.0313943342264516,1
HLA-C,82,GO:0098542,BP,defense response to other organism,1079,2,0.0326364544455435,1
HLA-C,83,GO:0030134,CC,COPII-coated ER to Golgi transport vesicle,91,1,0.0329580073542316,1
HLA-C,84,GO:0016032,BP,viral process,928,2,0.0338124713736902,1
HLA-C,85,GO:0060333,BP,interferon-gamma-mediated signaling pathway,89,1,0.0342735904007277,1
HLA-C,89,GO:0044403,BP,biological process involved in symbiotic interaction,983,2,0.0366895575099334,1
HLA-C,95,GO:0071345,BP,cellular response to cytokine stimulus,1073,2,0.0392673896514491,1
HLA-C,100,GO:0045335,CC,phagocytic vesicle,134,1,0.0448289369752959,1
HLA-C,103,GO:0002252,BP,immune effector process,1170,2,0.0452201697584939,1
HLA-C,104,GO:0034097,BP,response to cytokine,1159,2,0.04530439294097,1
PARP12,6,GO:0140289,BP,protein mono-ADP-ribosylation,12,1,0.0029083671678878,1
PARP12,7,GO:0070213,BP,protein auto-ADP-ribosylation,11,1,0.0029238479539899,1
PARP12,8,GO:1990404,MF,protein ADP-ribosylase activity,16,1,0.0039274289339403,1
PARP12,16,GO:0003950,MF,NAD+ ADP-ribosyltransferase activity,24,1,0.006241616308969,1
PARP12,22,GO:0006471,BP,protein ADP-ribosylation,34,1,0.0086915133092449,1
PARP12,38,GO:0016763,MF,"transferase activity, transferring pentosyl groups",50,1,0.0141324373700314,1
