pathway_name,gene_symbol
REACTOME_PROCESSING_AND_ACTIVATION_OF_SUMO,['CALM1']
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION,['CALM1']
BIOCARTA_ALTERNATIVE_PATHWAY,"['CFP', 'CFB', 'C7', 'C8A', 'CFD', 'C6', 'C5', 'C3', 'C9']"
REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS,"['SYT1', 'STX1B', 'STX1A', 'SV2C', 'SNAP25', 'VAMP1', 'SYT2', 'SV2A', 'SV2B', 'VAMP2']"
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,['CALM1']
REACTOME_NEGATIVE_REGULATION_OF_FGFR1_SIGNALING,['CALM1']
REACTOME_REGULATION_OF_CYTOSKELETAL_REMODELING_AND_CELL_SPREADING_BY_IPP_COMPLEX_COMPONENTS,"['ACTN1', 'PXN', 'TESK1', 'ARHGEF6', 'RSU1', 'LIMS1', 'PARVB', 'PARVA']"
REACTOME_FGFR3B_LIGAND_BINDING_AND_ACTIVATION,"['FGFR3', 'FGF20', 'FGF9', 'FGF8', 'FGF1', 'FGF18', 'FGF17']"
REACTOME_ENDOGENOUS_STEROLS,['CALM1']
REACTOME_VASOPRESSIN_LIKE_RECEPTORS,['CALM1']
REACTOME_MITOCHONDRIAL_UNCOUPLING_PROTEINS,['CALM1']
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,['CALM1']
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING,['CALM1']
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,['CALM1']
REACTOME_GLI_PROTEINS_BIND_PROMOTERS_OF_HH_RESPONSIVE_GENES_TO_PROMOTE_TRANSCRIPTION,"['GLI2', 'GLI3', 'GLI1', 'PTCH2', 'BOC', 'HHIP', 'PTCH1']"
PID_REG_GR_PATHWAY,['CALM1']
REACTOME_METABOLISM_OF_PORPHYRINS,['CALM1']
BIOCARTA_CLASSIC_PATHWAY,"['C1QB', 'C7', 'C8A', 'C2', 'C1S', 'C1QC', 'C6', 'C5', 'C1R', 'C3', 'C4B_2', 'C4A', 'C1QA', 'C9', 'C4B']"
REACTOME_FBXW7_MUTANTS_AND_NOTCH1_IN_CANCER,"['CUL1', 'RBX1', 'FBXW7', 'SKP1', 'NOTCH1']"
REACTOME_RHO_GTPASES_ACTIVATE_ROCKS,['CALM1']
REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL,['CALM1']
BIOCARTA_DNAFRAGMENT_PATHWAY,['CALM1']
BIOCARTA_ERK5_PATHWAY,['CALM1']
REACTOME_HIGHLY_SODIUM_PERMEABLE_ACETYLCHOLINE_NICOTINIC_RECEPTORS,"['CHRNA3', 'CHRNA4', 'CHRNE', 'CHRNB4', 'CHRND', 'CHRNB2', 'CHRNG']"
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3,['CALM1']
NABA_CORE_MATRISOME,['CALM1']
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS,['CALM1']
REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA,"['BAK1', 'BAX', 'SEPT4', 'CYCS', 'DIABLO']"
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,['CALM1']
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_C_STRAND_OF_THE_TELOMERE,['CALM1']
REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS,['CALM1']
BIOCARTA_TRKA_PATHWAY,['CALM1']
BIOCARTA_WNT_LRP6_PATHWAY,"['DKK1', 'FZD1', 'DKK2', 'WNT8B', 'WNT8A', 'KREMEN2']"
REACTOME_PHASE_2_PLATEAU_PHASE,['CALM1']
PID_HNF3B_PATHWAY,['CALM1']
REACTOME_SIGNALING_BY_FGFR2_IIIA_TM,['CALM1']
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,['CALM1']
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,['CALM1']
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS,['CALM1']
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT,['CALM1']
BIOCARTA_CELL2CELL_PATHWAY,"['CSK', 'CTNNA2', 'PECAM1', 'CTNNA1', 'CTNNB1', 'BCAR1', 'ACTN2', 'ACTN1', 'VCL', 'ACTN3', 'LRRTM2', 'CTNNA3']"
BIOCARTA_IL1R_PATHWAY,['CALM1']
REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS,['CALM1']
REACTOME_PTK6_EXPRESSION,['CALM1']
BIOCARTA_BIOPEPTIDES_PATHWAY,['CALM1']
BIOCARTA_MEF2D_PATHWAY,['CALM1']
REACTOME_BETA_OXIDATION_OF_DECANOYL_COA_TO_OCTANOYL_COA_COA,['CALM1']
REACTOME_BASE_EXCISION_REPAIR,['CALM1']
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_UNSATURATED_FATTY_ACIDS,['CALM1']
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION,['CALM1']
REACTOME_FBXL7_DOWN_REGULATES_AURKA_DURING_MITOTIC_ENTRY_AND_IN_EARLY_MITOSIS,['CALM1']
REACTOME_ANTIGEN_PROCESSING:_UBIQUITINATION_PROTEASOME_DEGRADATION,['CALM1']
REACTOME_SIGNALING_BY_PDGF,['CALM1']
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE,['CALM1']
BIOCARTA_INSULIN_PATHWAY,['CALM1']
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,['CALM1']
BIOCARTA_INTEGRIN_PATHWAY,['CALM1']
REACTOME_PI_3K_CASCADE:FGFR3,['CALM1']
REACTOME_PI_3K_CASCADE:FGFR2,['CALM1']
REACTOME_PI_3K_CASCADE:FGFR1,['CALM1']
REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS,"['ACAA1', 'ACOT8', 'ABCD1', 'MLYCD', 'EHHADH', 'HSD17B4', 'ACOX1', 'ACOT4', 'ECI2', 'ACOT6', 'DECR2']"
REACTOME_PI_3K_CASCADE:FGFR4,['CALM1']
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,['CALM1']
PID_RANBP2_PATHWAY,['CALM1']
REACTOME_TBC_RABGAPS,['CALM1']
REACTOME_SIGNALING_BY_NOTCH1_T_7_9_NOTCH1:M1580_K2555_TRANSLOCATION_MUTANT,"['JAG1', 'DLL4', 'ADAM10', 'NOTCH1', 'ADAM17', 'JAG2', 'DLL1']"
REACTOME_METALLOPROTEASE_DUBS,['CALM1']
BIOCARTA_NKT_PATHWAY,['CALM1']
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,['CALM1']
PID_IGF1_PATHWAY,['CALM1']
REACTOME_PLATELET_CALCIUM_HOMEOSTASIS,['CALM1']
REACTOME_PERK_REGULATES_GENE_EXPRESSION,['CALM1']
BIOCARTA_ARF_PATHWAY,['CALM1']
REACTOME_KETONE_BODY_METABOLISM,['CALM1']
REACTOME_EPHRIN_SIGNALING,['CALM1']
REACTOME_REGULATION_BY_C_FLIP,['CALM1']
REACTOME_SMAD2_SMAD3:SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION,['CALM1']
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,['CALM1']
BIOCARTA_AHSP_PATHWAY,['CALM1']
REACTOME_CARDIAC_CONDUCTION,['CALM1']
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE,['CALM1']
REACTOME_PTK6_REGULATES_CELL_CYCLE,"['PTK6', 'CCNE1', 'CCND1', 'CDKN1B', 'CDK2', 'CDK4']"
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION,['CALM1']
REACTOME_RRNA_PROCESSING,['CALM1']
REACTOME_NEGATIVE_REGULATION_OF_MAPK_PATHWAY,['CALM1']
REACTOME_FORMATION_OF_HIV_ELONGATION_COMPLEX_IN_THE_ABSENCE_OF_HIV_TAT,['CALM1']
REACTOME_UCH_PROTEINASES,['CALM1']
REACTOME_NEGATIVE_REGULATION_OF_MET_ACTIVITY,['CALM1']
REACTOME_FGFRL1_MODULATION_OF_FGFR1_SIGNALING,"['FGF10', 'FGF22', 'FGF4', 'FGF8', 'FGF23', 'FGFRL1', 'FGF5', 'FGF2', 'FGF18', 'FGF17', 'SPRED1', 'FGF3', 'SPRED2']"
REACTOME_DEADENYLATION_OF_MRNA,['CALM1']
REACTOME_POST_TRANSCRIPTIONAL_SILENCING_BY_SMALL_RNAS,"['TNRC6C', 'TNRC6A', 'AGO1', 'TNRC6B', 'AGO2', 'AGO3', 'AGO4']"
REACTOME_REGULATED_NECROSIS,['CALM1']
REACTOME_REGULATION_OF_MECP2_EXPRESSION_AND_ACTIVITY,['CALM1']
REACTOME_BIOSYNTHESIS_OF_MARESIN_LIKE_SPMS,"['CYP2D6', 'CYP2E1', 'CYP2C9', 'CYP2C8', 'CYP1A2', 'CYP3A4']"
REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG,"['MGLL', 'ABHD12', 'DAGLA', 'ABHD6', 'DAGLB']"
REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING,['CALM1']
REACTOME_SIGNAL_TRANSDUCTION_BY_L1,['CALM1']
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,['CALM1']
BIOCARTA_CPSF_PATHWAY,['CALM1']
BIOCARTA_EXTRINSIC_PATHWAY,['CALM1']
BIOCARTA_FXR_PATHWAY,['CALM1']
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS,['CALM1']
KEGG_RETINOL_METABOLISM,['CALM1']
REACTOME_SODIUM_COUPLED_PHOSPHATE_COTRANSPORTERS,"['SLC34A1', 'SLC20A1', 'SLC34A2', 'SLC20A2', 'SLC34A3']"
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,['CALM1']
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,['CALM1']
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,['CALM1']
BIOCARTA_COMP_PATHWAY,['CALM1']
REACTOME_FRS_MEDIATED_FGFR3_SIGNALING,['CALM1']
REACTOME_DOWNREGULATION_OF_ERBB4_SIGNALING,"['NEDD4', 'ITCH', 'WWP1', 'RPS27A', 'UBC', 'UBB', 'ERBB4', 'SRC', 'UBA52']"
PID_CXCR4_PATHWAY,['CALM1']
REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR,['CALM1']
REACTOME_G_ALPHA_12_13_SIGNALLING_EVENTS,['CALM1']
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON,"['SARM1', 'IRF3', 'TICAM1', 'TRAF3', 'TANK', 'TLR4', 'RPS27A', 'UBC', 'LY96', 'UBB', 'CD14', 'PTPN11', 'TBK1', 'IRF7', 'UBA52', 'TICAM2', 'IKBKE']"
REACTOME_NOSTRIN_MEDIATED_ENOS_TRAFFICKING,['CALM1']
KEGG_BASAL_CELL_CARCINOMA,['CALM1']
REACTOME_MAP2K_AND_MAPK_ACTIVATION,['CALM1']
REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR,['CALM1']
REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY,['CALM1']
BIOCARTA_ERBB3_PATHWAY,['CALM1']
BIOCARTA_SARS_PATHWAY,['CALM1']
BIOCARTA_HCMV_PATHWAY,['CALM1']
REACTOME_VLDL_CLEARANCE,['CALM1']
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,['CALM1']
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE,"['TSPOAP1', 'SYT1', 'SLC1A3', 'RIMS1', 'SLC17A7', 'SLC1A6', 'RAB3A', 'STX1A', 'SLC1A1', 'SLC1A2', 'GLS', 'PPFIA1', 'SNAP25', 'SLC38A2', 'GLS2', 'STXBP1', 'PPFIA2', 'PPFIA4', 'ARL6IP5', 'SLC1A7', 'CPLX1', 'PPFIA3', 'UNC13B', 'VAMP2']"
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,['CALM1']
BIOCARTA_CSK_PATHWAY,['CALM1']
REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS,['CALM1']
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS,['CALM1']
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT,['CALM1']
PID_TCR_PATHWAY,['CALM1']
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_EARLY_PANCREATIC_PRECURSOR_CELLS,"['FGF10', 'NR5A2', 'PDX1', 'NKX6-1', 'PTF1A', 'ONECUT1', 'ONECUT3', 'HNF1B']"
SA_FAS_SIGNALING,['CALM1']
BIOCARTA_EPHA4_PATHWAY,['CALM1']
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,['CALM1']
BIOCARTA_PGC1A_PATHWAY,['CALM1']
BIOCARTA_NGF_PATHWAY,['CALM1']
REACTOME_TOXICITY_OF_BOTULINUM_TOXIN_TYPE_D_BONT_D,"['SV2C', 'VAMP1', 'SV2A', 'SV2B', 'VAMP2']"
REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES,['CALM1']
REACTOME_SYNTHESIS_OF_DOLICHYL_PHOSPHATE,['CALM1']
REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES,"['MRE11', 'XRCC5', 'DTX4', 'IRF3', 'TRIM21', 'NLRP4', 'IFI16', 'CGAS', 'STAT6', 'NLRC3', 'DDX41', 'TBK1', 'TMEM173', 'XRCC6', 'TREX1', 'PRKDC']"
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES,['CALM1']
REACTOME_WAX_AND_PLASMALOGEN_BIOSYNTHESIS,"['AGPS', 'FAR2', 'DHRS7B', 'GNPAT', 'AWAT2', 'FAR1', 'AWAT1']"
PID_ERBB4_PATHWAY,['CALM1']
PID_TCR_CALCIUM_PATHWAY,['CALM1']
REACTOME_INTEGRATION_OF_PROVIRUS,['CALM1']
KEGG_CELL_ADHESION_MOLECULES_CAMS,['CALM1']
PID_RHODOPSIN_PATHWAY,['CALM1']
REACTOME_CELL_CYCLE,['CALM1']
KEGG_TYPE_II_DIABETES_MELLITUS,['CALM1']
REACTOME_VASOPRESSIN_REGULATES_RENAL_WATER_HOMEOSTASIS_VIA_AQUAPORINS,['CALM1']
REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION,"['FGFR2', 'FGF4', 'FGF20', 'FGF9', 'FGF8', 'FGF6', 'FGF1', 'FGF23', 'FGF5', 'FGF2', 'FGF18', 'FGF17', 'FGF16']"
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,['CALM1']
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM,"['NT5C2', 'ABCB1', 'SLC22A2', 'ABCG2', 'PCK1', 'GUK1', 'SLC22A3', 'ADAL', 'SLC22A1', 'ADH1A']"
REACTOME_SIGNALING_BY_SCF_KIT,['CALM1']
NABA_ECM_REGULATORS,['CALM1']
REACTOME_SYNTHESIS_OF_WYBUTOSINE_AT_G37_OF_TRNA_PHE,"['TRMT5', 'TYW3', 'TYW5', 'LCMT2', 'TRMT12', 'TYW1']"
REACTOME_PKA_ACTIVATION_IN_GLUCAGON_SIGNALLING,['CALM1']
BIOCARTA_IGF1R_PATHWAY,['CALM1']
KEGG_SMALL_CELL_LUNG_CANCER,['CALM1']
PID_IL6_7_PATHWAY,['CALM1']
REACTOME_APEX1_INDEPENDENT_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY,['CALM1']
BIOCARTA_KERATINOCYTE_PATHWAY,['CALM1']
PID_ECADHERIN_NASCENT_AJ_PATHWAY,['CALM1']
REACTOME_TRIF_TICAM1_MEDIATED_TLR4_SIGNALING,['CALM1']
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,['CALM1']
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION,['CALM1']
REACTOME_SYNTHESIS_OF_EPOXY_EET_AND_DIHYDROXYEICOSATRIENOIC_ACIDS_DHET,['CALM1']
PID_INTEGRIN2_PATHWAY,['CALM1']
REACTOME_TRAFFICKING_OF_MYRISTOYLATED_PROTEINS_TO_THE_CILIUM,['CALM1']
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,['CALM1']
REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES,['CALM1']
REACTOME_PHOSPHORYLATION_OF_THE_APC_C,['CALM1']
REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB,['CALM1']
REACTOME_HS_GAG_DEGRADATION,['CALM1']
NABA_MATRISOME_ASSOCIATED,['CALM1']
BIOCARTA_CXCR4_PATHWAY,['CALM1']
REACTOME_SEMAPHORIN_INTERACTIONS,['CALM1']
KEGG_PYRUVATE_METABOLISM,['CALM1']
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION,['CALM1']
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_ER_MEMBRANE,['CALM1']
BIOCARTA_TOLL_PATHWAY,['CALM1']
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION,"['TEAD3', 'WWTR1', 'HIPK2', 'TEAD2', 'TBX5', 'KAT2B', 'CCN2', 'RUNX2', 'GATA4', 'YAP1', 'HIPK1', 'NPPA', 'NKX2-5', 'TEAD1', 'TEAD4']"
REACTOME_ROLE_OF_SECOND_MESSENGERS_IN_NETRIN_1_SIGNALING,"['NTN1', 'TRPC7', 'TRPC5', 'PLCG1', 'TRPC4', 'TRPC6', 'TRPC3', 'TRPC1', 'PITPNA', 'DCC']"
REACTOME_SODIUM_PROTON_EXCHANGERS,['CALM1']
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,['CALM1']
REACTOME_ORGANIC_ANION_TRANSPORT,['CALM1']
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,['CALM1']
KEGG_VIBRIO_CHOLERAE_INFECTION,['CALM1']
REACTOME_ATTACHMENT_OF_GPI_ANCHOR_TO_UPAR,['CALM1']
KEGG_PHENYLALANINE_METABOLISM,['CALM1']
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS,['CALM1']
BIOCARTA_DSP_PATHWAY,['CALM1']
REACTOME_ETHANOL_OXIDATION,"['ALDH2', 'ACSS2', 'ALDH1B1', 'ACSS1', 'ALDH1A1', 'ADH6', 'ADH1A', 'ADH7', 'ADH1B', 'ADH5', 'ADH4', 'ADH1C']"
REACTOME_NUCLEOBASE_BIOSYNTHESIS,['CALM1']
REACTOME_ELEVATION_OF_CYTOSOLIC_CA2PLUS_LEVELS,['CALM1']
REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,['CALM1']
BIOCARTA_MCM_PATHWAY,"['KITLG', 'ORC1', 'CDK2', 'ORC6', 'CDT1', 'MCM3', 'CDKN1B', 'CCNE1', 'CDC6', 'ORC3', 'ORC5', 'MCM7', 'MCM6', 'ORC2', 'MCM4', 'MCM2', 'MCM5', 'ORC4']"
REACTOME_TCR_SIGNALING,['CALM1']
KEGG_ARGININE_AND_PROLINE_METABOLISM,['CALM1']
REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_INITIATION,['CALM1']
KEGG_O_GLYCAN_BIOSYNTHESIS,['CALM1']
PID_IL2_STAT5_PATHWAY,['CALM1']
REACTOME_LDL_CLEARANCE,['CALM1']
PID_RHOA_REG_PATHWAY,['CALM1']
PID_EPHRINB_REV_PATHWAY,['CALM1']
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION,['CALM1']
REACTOME_HIV_INFECTION,['CALM1']
REACTOME_CHOLESTEROL_BIOSYNTHESIS,['CALM1']
REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10,['CALM1']
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION,['CALM1']
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS,"['BAD', 'BID', 'BMF', 'BBC3', 'PMAIP1', 'BCL2L11', 'STAT3', 'BCL2L1', 'BCL2']"
PID_INSULIN_GLUCOSE_PATHWAY,['CALM1']
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,['CALM1']
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING,['CALM1']
BIOCARTA_GATA3_PATHWAY,['CALM1']
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX_WITHIN_TLR4_COMPLEX,['CALM1']
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION,['CALM1']
REACTOME_RUNX1_AND_FOXP3_CONTROL_THE_DEVELOPMENT_OF_REGULATORY_T_LYMPHOCYTES_TREGS,['CALM1']
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,['CALM1']
REACTOME_REDUCTION_OF_CYTOSOLIC_CAPLUSPLUS_LEVELS,['CALM1']
BIOCARTA_BCR_PATHWAY,['CALM1']
BIOCARTA_EOSINOPHILS_PATHWAY,['CALM1']
REACTOME_ATTENUATION_PHASE,['CALM1']
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX,['CALM1']
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,"['ACO1', 'GLYCTK', 'MTHFD2', 'GRHPR', 'CS', 'HAO1', 'MDH2', 'MDH1', 'MTHFD2L', 'PGP', 'MTHFD1L', 'MTHFD1', 'HAO2', 'AFMID', 'HYI', 'ACO2']"
REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC,['CALM1']
REACTOME_TRIGLYCERIDE_CATABOLISM,['CALM1']
REACTOME_ORGANIC_CATION_TRANSPORT,"['SLC22A16', 'SLC22A18', 'SLC22A2', 'SLC22A3', 'RUNX1', 'SLC22A15', 'SLC22A1', 'SLC22A4', 'SLC22A5', 'RSC1A1']"
REACTOME_MET_PROMOTES_CELL_MOTILITY,['CALM1']
BIOCARTA_IL7_PATHWAY,['CALM1']
BIOCARTA_HIF_PATHWAY,"['EPO', 'LDHA', 'VEGFA', 'ASPH', 'P4HB', 'COPS5', 'EDN1', 'CREB1', 'EP300', 'VHL', 'HSP90AA1', 'HIF1A', 'ARNT', 'NOS3', 'JUN']"
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING,['CALM1']
