"","seqnames","start","end","width","strand","no.cpgs","min_smoothed_fdr","Stouffer","HMFDR","Fisher","maxdiff","meandiff","overlapping.genes"
"37","chr19",850975,853540,2566,"*",12,8.07968721262771e-09,1.23083885550471e-05,0.0698408565987988,0.000236978533970916,-0.0272426759832206,-0.0198400726030182,"ELANE"
"38","chr3",49459143,49460521,1379,"*",10,1.26829755235204e-13,2.23157474094597e-05,0.0518734569743058,0.000252275769973035,-0.0275504867262626,-0.0191570775883929,"U7, SNORD77, NICN1-AS1, SNORA33, SNORA81, SNORD5, AMT, NICN1, SNORD38, SNORD63, Metazoa_SRP, SNORA18"
"39","chr14",81425912,81426577,666,"*",5,5.06188571825864e-10,3.17890953740749e-05,0.0339351726409409,0.000257340041574672,0.0273673539070516,0.0217698955578515,"TSHR, SNORA79"
"40","chr7",158664058,158664247,190,"*",3,2.80217918572701e-09,8.19868747280023e-05,0.0119986593720475,0.000284718413203034,-0.0368465441076672,-0.0325872284228252,"WDR60"
"41","chr11",32449163,32452839,3677,"*",21,2.17409472215875e-09,1.3559077702402e-05,0.0757441280252586,0.000294012890708237,-0.0277703422968029,-0.0144603256642238,"WT1"
"42","chr19",7796382,7797355,974,"*",5,4.28967917514846e-13,0.00146774508008145,0.00796055891967751,0.000332922466681022,-0.0222743366658922,-0.0160440549715122,"CLEC4G"
"43","chr20",57582006,57583709,1704,"*",26,1.87146240018105e-25,0.00101828945940118,0.0678573393116063,0.000342101055054132,-0.0302982864181391,-0.0111382330591426,"CTSZ"
"44","chr4",48136234,48137219,986,"*",4,8.47283467550175e-09,6.4198218160776e-05,0.0245434407452944,0.000343390405333003,0.0232374006692296,0.0124749374435934,"SNORD74, SNORA3, snoR442, SNORA11, TXK, SNORD42, snoU2_19, SNORD65"
"45","chr17",79801347,79801920,574,"*",7,6.23571394435694e-11,6.53131963059856e-05,0.0351115838221318,0.000346555853542594,-0.0179107630538841,-0.0137661113831575,"SNORA69, RP11-498C9.2, P4HB"
"46","chr4",6694923,6695698,776,"*",7,3.62701509058935e-11,5.4368793394847e-05,0.0378782338093744,0.000346675752872203,-0.0277194371949327,-0.0184536752618199,"S100P, SNORA3"
"47","chr5",76115309,76116535,1227,"*",8,6.51003432988847e-13,6.90980403767582e-05,0.0418631363799392,0.000356581127443129,-0.0296401649257612,-0.0183308011047232,"F2RL1, snoZ6, SNORA27, SNORA68, RPS23P5, SNORA57, 7SK, SNORD45"
"48","chr4",720144,720870,727,"*",4,1.71676584833424e-09,7.65485598462293e-05,0.0215769102593834,0.000367538260843528,-0.0518682710945617,-0.0371267525005207,"PCGF3"
"49","chr10",45958759,45958885,127,"*",3,5.86573771455528e-09,0.000106166623453477,0.0145491139514351,0.000370799629508597,-0.0340263928282766,-0.0322307514594381,"SNORA71, MARCH8"
"50","chrX",40007471,40009241,1771,"*",5,1.4907371584569e-07,5.60228616865059e-05,0.0296376045781932,0.000375340483492762,-0.0253349008424547,-0.0224735494953711,"BCOR"
"51","chr14",23586582,23588325,1744,"*",6,5.94659092394444e-08,6.4933925334094e-05,0.0287185301741739,0.000381813475151591,-0.0345574088484312,-0.0192356014034142,"SNORA79, CEBPE"
"52","chr19",12758416,12759546,1131,"*",7,1.03359439412469e-11,0.00025776481554935,0.0352242915457085,0.000385467503668944,-0.0335226449108553,-0.0240347035062849,"CTD-2192J16.22, MAN2B1"
"53","chr1",226296868,226298746,1879,"*",10,1.13144041604974e-09,0.000105582669847184,0.0522478804442188,0.000387537543363963,-0.0313133733465797,-0.0082556338733592,"snoU13, Y_RNA, SNORD112, SNORA51, SNORA25, U8"
"54","chr6",30094947,30095802,856,"*",29,4.01462215779663e-22,7.07479739235747e-05,0.0993233623187724,0.000389328938875417,-0.037452020720963,-0.012389684340725,"SNORA20"
"55","chr15",64442561,64442578,18,"*",2,3.55053847104926e-10,0.000197742179401973,0.00436540067262072,0.000391020315355999,-0.028507256402886,-0.0262584169385985,NA
"56","chr7",630473,630914,442,"*",5,8.26472228933367e-10,5.61779169797967e-05,0.0376411288136242,0.000418000805836917,-0.0312999060533504,-0.021875142888815,"PRKAR1B"
"57","chr1",172628020,172628514,495,"*",4,1.00315204989306e-09,0.000103871557242261,0.0200294772958147,0.000420567827405013,0.027669205267949,0.0212245220625005,"snoU13, Y_RNA, SCARNA16, SNORD112, SNORA63, U3, SNORA51, SNORA25, SNORD59, SCARNA20, FASLG, SNORA67, U6, SNORA70, SNORA77, SNORA26, SNORA72, U8, SNORA31, SNORD78, snoU109, SNORD60, SNORD116"
"58","chr5",1107855,1109031,1177,"*",8,4.50792584000778e-12,6.0588606110774e-05,0.0393819098625373,0.000438851870838765,-0.0267133191296617,-0.0176907916005733,"SLC12A7"
"59","chr5",149867577,149868855,1279,"*",4,1.44452954411749e-07,9.00179471773233e-05,0.0252694448661509,0.000444834904192047,-0.029759266545072,-0.0258764592680904,"NDST1, SNORA68, SNORA57, SNORD45, SNORD95"
"60","chr19",3398706,3399015,310,"*",4,2.20213609093436e-09,9.70089755122759e-05,0.0243815873959685,0.0004702031119553,-0.0221650960662894,-0.017207677791054,"NFIC"
"61","chr19",19887246,19887762,517,"*",8,5.75281030686718e-11,4.04354148476645e-05,0.0570012528924525,0.000486642694029118,0.00797343543974671,0.00565465525689319,"CTC-559E9.6, CTC-559E9.4"
"62","chr18",21452730,21453131,402,"*",7,2.63124427546279e-11,0.000207741125644406,0.035870272019373,0.000495515906180308,0.0182017925557837,0.0114059677096672,"LAMA3, SNORD23"
"63","chr11",818331,819513,1183,"*",9,2.03024185902367e-14,0.00647559634393769,0.0260152240100895,0.000506203260398944,-0.030697831772725,-0.0137970545470818,"PNPLA2"
"64","chr17",74023465,74024966,1502,"*",7,3.90442301139978e-07,0.000119368300123582,0.0437950494921572,0.000515286963086987,-0.0353708492765167,-0.023075891194775,"SNORA69, EVPL"
"65","chr4",681086,682184,1099,"*",5,6.36193906850863e-09,8.21041955286972e-05,0.0392273789570733,0.000581938378851631,-0.0259045770590248,-0.0182023636644807,"MFSD7"
"66","chr17",17684010,17684240,231,"*",3,1.15808972382568e-09,0.000230328351232855,0.0111943472400543,0.000589058165662565,-0.0202016962331716,-0.0151484851513887,"SNORA69, RAI1"
"67","chr17",1665119,1665303,185,"*",7,1.00197638595773e-10,0.000105086093954108,0.0383886790454063,0.000606657654648818,-0.0215995470650229,-0.0134662067457111,"SERPINF1"
"68","chr11",46401422,46402210,789,"*",5,4.60722621206192e-12,0.00032866459752449,0.0260023569104684,0.00064320239418568,-0.0162874741457891,-0.00745360225915278,"DGKZ, SNORD43"
"69","chr6",149771807,149772892,1086,"*",8,8.47763707399428e-13,0.000113706176790942,0.0132331321809752,0.000655167925505057,-0.0287630710057908,-0.0162026549854025,"SNORD28, ZC3H12D, SNORA20"
"70","chr11",71639257,71640085,829,"*",15,5.94925894992483e-14,6.99806080532483e-05,0.0767905104555418,0.000655201171681857,0.012399556473185,0.0044100639176373,"RNF121, RP11-849H4.2, SNORD43"
"71","chr12",6658164,6659524,1361,"*",8,1.09287503785534e-08,6.04317334259068e-05,0.0483553468603616,0.000666271621408415,-0.0294834874123771,-0.0194218818458947,"IFFO1"
"72","chr16",87871160,87871219,60,"*",2,4.62553794893321e-08,0.0003703321492949,0.00490310723023974,0.000674347005859693,-0.0281489249014536,-0.021221796565873,"RP4-536B24.2, SLC7A5"
"73","chr20",36147042,36147549,508,"*",5,1.08529644179765e-13,0.000364788685897176,0.0206598790789803,0.000678713656764187,-0.0217501848346821,-0.0119968075889962,"BLCAP"
"74","chr16",57180107,57180175,69,"*",2,1.05978609700781e-08,0.000343050646773682,0.00743258926129416,0.000696846609449705,-0.0382507686675444,-0.0332887310338852,"CPNE2, SNORD111, SNORD33"
"75","chr12",122711988,122712381,394,"*",9,3.62701509058935e-11,5.39257203988612e-05,0.0664578337239214,0.000720209259108791,0.0202370067496549,0.0143960641805333,"SNORA9, DIABLO, RP11-512M8.5"
"76","chr19",13053719,13054718,1000,"*",5,6.39187024402671e-09,0.000129144675433269,0.0366583462780577,0.000750662217221939,-0.0244139482048823,-0.0192488719929372,"CALR"
"77","chr6",15504844,15505452,609,"*",5,3.07735832507294e-10,0.000184217563386482,0.0237870074256931,0.00076447725411637,-0.0414116998171029,-0.0265794518132492,"JARID2, SNORA20"
"78","chr19",4542866,4544095,1230,"*",5,4.26129233127192e-10,0.000205172930797038,0.0200248440375265,0.000776404480127024,-0.0232526678285306,-0.0183978791720491,"SEMA6B"
"79","chrX",39866758,39867548,791,"*",5,3.03371823144808e-10,0.000282474756988577,0.0243118098339069,0.000850458889216569,-0.0320310312261057,-0.0214549074252604,NA
"80","chr22",50025915,50026188,274,"*",3,2.1918851408704e-08,0.000250046774008625,0.022014275508661,0.000850464590285562,-0.0473019881621088,-0.0401926510506994,"C22orf34"
"81","chr3",194979346,194980397,1052,"*",4,3.58436390643953e-08,0.000197555506902569,0.030113329402338,0.000860203411790012,-0.0192270994446644,-0.0165914631684388,"XXYLT1, U4"
"82","chr7",2563184,2564256,1073,"*",7,8.38676498843482e-12,0.000769764928264779,0.0259567841718241,0.000860318838405384,-0.0226567048106746,-0.0144062194591173,"LFNG"
"83","chr22",47081634,47082260,627,"*",4,4.07104422022378e-09,0.00037048135798358,0.0201932092533699,0.00089389899816772,-0.0323597653152111,-0.0228953415665605,"CERK"
"84","chr11",67141792,67143062,1271,"*",7,3.44687713532672e-15,0.00198119564077586,0.0127742555021965,0.000900265415565113,-0.0206742969816957,-0.0119605868874347,"SNORD43"
"85","chr2",175259907,175260967,1061,"*",17,7.17980059569567e-17,0.000520240001814204,0.0473321325961851,0.000904415361334568,0.0116534740681581,0.00494091325494418,"SCRN3, SNORA4, SNORD11, SNORD51, SNORA41, SCARNA6, SNORD39, SNORA75, ACA59, SNORA48, CIR1, SNORA43, SNORA1, Vault"
"86","chr8",21914287,21915184,898,"*",5,5.5600283211672e-10,0.000573903751022983,0.026648012915345,0.000908617286073805,-0.0296505293428714,-0.0186636760454323,"DMTN, SNORA7"
"87","chr8",142236917,142237359,443,"*",4,9.1119350682052e-11,0.000552162201013149,0.0144935804859233,0.000916432574144173,-0.0399436124176303,-0.0222994907114888,"SLC45A4"
"88","chr5",1494980,1495356,377,"*",4,2.80365272289404e-08,0.000184595341832733,0.0353374139004179,0.000917859024808446,-0.0204130641704557,-0.0182002520943695,"LPCAT1"
"89","chr14",104171259,104172224,966,"*",7,4.80491091447234e-10,0.00014446977783689,0.0529460863415809,0.000956753863342055,-0.0241156284092716,-0.0180344432554533,"XRCC3"
"90","chr1",11795409,11796979,1571,"*",16,7.67253308085874e-15,0.00286387893144667,0.0544527851558946,0.00103788191443482,-0.0256703992252831,-0.00813547857845268,"snoU13, Y_RNA, SCARNA16, AGTRAP, SCARNA21, SNORD112, SNORA62, SNORA2, U3, SNORA51, SCARNA20, SNORA67, SNORA70, SNORA77, SNORA26, U8, SCARNA11, SNORA31, SNORA42, SNORA40, snoU109, SNORD60"
"91","chr11",3177622,3178322,701,"*",6,7.04871589887934e-09,0.000122222475165578,0.0601546259173409,0.00107116066709846,-0.0352808245765024,-0.0241291883744592,"LSP1, OSBPL5"
"92","chr2",105273376,105273432,57,"*",3,3.84936956633112e-08,0.000460746578562394,0.0151592876846921,0.00110045958891097,-0.0222637599374413,-0.0161446573077538,"SNORA73, SNORA64, SNORA12, SNORA74, SNORA19, snR65, 5S_rRNA, SNORA4, SNORD11, SNORD51, SNORA41, SCARNA6, SNORD39, SNORA75, ACA59, SNORA48, SNORD56, SNORA43, SNORA1, Vault"
"93","chr16",1537926,1539318,1393,"*",6,2.3353571241432e-09,0.000438915117716757,0.0354753549136497,0.00110631585766256,-0.0199490463280152,-0.0128221164389739,"PTX4"
"94","chr12",125002474,125003558,1085,"*",8,6.31413483282203e-12,0.000693882033832494,0.044296077218998,0.00112876797977909,-0.0525926791774041,-0.0174874163135659,"NCOR2"
"95","chr1",155910523,155911361,839,"*",6,1.24550256595824e-08,0.000348719337894307,0.045149686831708,0.00115665444820609,-0.0209438716553653,-0.0144130460041808,"snoU13, Y_RNA, SCARNA16, SNORD112, SNORA63, U3, SNORA51, SNORA25, SNORD59, SCARNA20, SNORA67, U6, SNORA70, SNORA77, SNORA26, SNORA72, U8, SNORA31, SNORA40, SNORD64, ACA64, SNORD78, snoU109, SNORD60, SNORD116"
"96","chr7",99970074,99971238,1165,"*",7,5.29595167353273e-09,0.000118291387155716,0.0637222725637401,0.0011646074678881,-0.0257284306248021,-0.0169605309180037,"PILRA"
"97","chrX",40003935,40005177,1243,"*",5,2.48010119709004e-08,0.000186593718617866,0.0491343259772454,0.00120035011124056,-0.0446081496495734,-0.029491143252918,"BCOR"
"98","chr19",4950746,4950888,143,"*",3,5.81883691052562e-08,0.000552566060442285,0.0152224569593118,0.00120638840994702,-0.0383648860701312,-0.0269124228444409,"UHRF1"
"99","chr10",102760724,102760970,247,"*",3,9.85280127149412e-08,0.00040827078631881,0.0211332328307357,0.00121286735200339,-0.0321805787269169,-0.0237897312340292,"LZTS2, SNORA17"
"100","chr1",9716019,9716050,32,"*",2,1.25360702730451e-07,0.000604187077380978,0.0109166375137922,0.00121829073871327,-0.026529574389335,-0.0232423151581999,"snoU13, Y_RNA, SCARNA16, PIK3CD, SCARNA21, SNORD112, SNORA62, U3, SNORA51, SCARNA20, SNORA67, SNORA70, SNORA77, SNORA26, U8, SCARNA11, SNORA31, SNORA42, SNORA40, snoU109, SNORD60"
"101","chr12",6492579,6493767,1189,"*",10,2.34654305091704e-10,0.000425398709267599,0.0441996026604215,0.0012269242177709,-0.0271889332360478,-0.0138506339927117,"LTBR"
"102","chr11",118799238,118800953,1716,"*",12,1.19368671073092e-09,0.000409491301210337,0.0620435830154339,0.00125138395327635,0.00894922303397262,0.00499456919729907,"UPK2"
"103","chrX",15518655,15519107,453,"*",5,3.5052893259237e-09,0.000333929928030047,0.0212866156541617,0.00125217738728525,-0.030279540580189,-0.0223589332636845,"BMX"
"104","chr11",503807,504937,1131,"*",8,1.4179134161945e-08,0.000140245861729924,0.0670856564346783,0.00126142769650056,-0.0284128578404896,-0.0195858978499823,"RNH1"
"105","chr1",2081984,2082522,539,"*",4,1.68167214007955e-08,0.000443039251994308,0.026053412418585,0.00128246067450908,-0.0409570007887026,-0.0243341643321598,"PRKCZ, snoU13, Y_RNA"
"106","chr19",1155030,1155738,709,"*",5,8.56205313789217e-09,0.000226335824621214,0.0465268402812506,0.00131218970971031,-0.0237830514444079,-0.0191648293629727,"SBNO2"
"107","chr18",74114570,74114728,159,"*",3,4.64768191065549e-08,0.000453211511652142,0.0198812450441217,0.00131234901113721,-0.0394488033926441,-0.033484139953221,"ZNF516"
"108","chr15",31689509,31689706,198,"*",3,1.54335502486736e-07,0.000442023240563584,0.0209684303428552,0.00131605114791147,-0.0383461029972472,-0.0295511422414119,"KLF13"
"109","chr11",822397,822402,6,"*",2,7.23923006810402e-08,0.000688668466697679,0.0113425142217522,0.00137138704365311,-0.036814213944565,-0.0360253126509679,"PNPLA2"
"110","chr13",74805233,74805590,358,"*",2,5.9202344296453e-07,0.000698437351485753,0.011674721368778,0.00139631929434107,0.0236076965132713,0.0221580487956744,"SNORD36"
"111","chr22",38713874,38714466,593,"*",10,2.25064442947423e-11,0.000139045648376533,0.0789195509831333,0.00139956529567681,-0.0219639055113341,-0.0159216831520503,"CSNK1E"
"112","chr6",158507753,158508188,436,"*",4,2.77392064736628e-08,0.000313054230954641,0.0404870543086521,0.00145469691683363,-0.0243119114666359,-0.0177315773791307,"SYNJ2, SNORA20"
"113","chr13",34184932,34185311,380,"*",5,2.11304884739396e-08,0.000284830420882478,0.0388374991895276,0.00146077842738597,0.0220899169276393,0.0164234116052391,"SNORD36, RP11-37L2.1, RP11-141M1.3, SNORD37"
"114","chrX",75004943,75005131,189,"*",7,2.80193973593076e-09,0.00051895695457836,0.0554321734746437,0.00148477862305006,-0.0436924514071657,-0.0328191767816501,"MAGEE2"
"115","chr9",132584750,132584943,194,"*",2,4.71735539053842e-07,0.000770866916525511,0.0112359801554972,0.00150389802105611,-0.0213514899407289,-0.0175798712273244,"TOR1A"
"116","chr5",148809664,148810203,540,"*",6,4.00257812193228e-09,0.000318398217043081,0.0484299312799266,0.00151015503180738,-0.0244722034541026,-0.0137467002293374,"MIR145, SNORA68, SNORA57, SNORD45, SNORD95"
"117","chr16",67231928,67233549,1622,"*",9,4.70638239319619e-11,0.000315391640679968,0.0627320872449978,0.0015175657485689,-0.0193713111895476,-0.0118735214706945,"E2F4, ELMO3, SNORD111, SNORD33"
"118","chr6",31846249,31847633,1385,"*",11,1.21071653980595e-12,0.00120777348872028,0.0542678585015791,0.00155310661492665,-0.0361305770837431,-0.0186791003708885,"SNORA38, SLC44A4, EHMT2, SNORA20"
"119","chr6",52440429,52441305,877,"*",4,3.02969216266207e-08,0.00082599666999223,0.0243303075112543,0.00155414656399106,-0.0295657362372616,-0.0216291287755423,"SNORA38, SNORA8, SCARNA15, TRAM2, SNORA20"
"120","chr19",46095477,46095562,86,"*",2,3.06781372303502e-08,0.000820023246328808,0.011305504776684,0.00158538560041198,-0.0183730739214407,-0.0155533361308418,"OPA3, GPR4"
"121","chr17",56401623,56402238,616,"*",5,2.81430654794045e-08,0.000331056206309194,0.0431681305426836,0.0016012634766275,-0.0350728494724284,-0.0202522250780325,"SNORA69, BZRAP1"
"122","chr11",1767775,1767793,19,"*",2,5.62464173223141e-07,0.000840733292298355,0.0116179255619876,0.00162866283838015,-0.0249537271450337,-0.0237302590675979,"IFITM10"
"123","chrX",153637497,153637827,331,"*",9,8.44025277919312e-10,0.000125735357754321,0.0854324614371925,0.00164948947240315,-0.0226778057832918,-0.0184390118541502,"RPL10, DNASE1L1"
"124","chr2",33700849,33701705,857,"*",7,7.01418169185278e-09,0.000642968950041472,0.0555881726815058,0.00166416284665583,0.006870537981274,0.00511372098073322,"SNORA73, SNORA64, RASGRP3, SNORA74, snR65, SCARNA6, SNORD39, SNORD18, SNORA36, SNORA75, SNORA48, SNORD56, SNORA43, SNORA1, Vault"
"125","chr1",179333589,179334176,588,"*",3,3.2622316795485e-09,0.00153809884170757,0.00741619378372884,0.00168754813816088,-0.0290802184000885,-0.0154283455465249,"snoU13, Y_RNA, SCARNA16, SNORD112, SNORA63, U3, SNORA51, SNORA25, SNORD59, SCARNA20, RN7SL374P, U6, SNORA70, SNORA77, SNORA26, SNORA72, U8, SNORA31, snoU109, SNORD60, SNORD116"
"126","chr17",80084554,80085332,779,"*",5,8.25480771813427e-09,0.000448337989123758,0.030136619702484,0.00169872724281824,0.0304027445019946,0.0182972664414746,"SNORA69, CCDC57"
"127","chr20",45947025,45947892,868,"*",5,7.59186998818133e-08,0.000326261273480068,0.0492833751491597,0.00174632419911017,-0.0276684277120209,-0.0216175441686512,"AL031666.2, ZMYND8"
"128","chr3",128778575,128780164,1590,"*",10,2.52113727646283e-10,0.000344372658900959,0.0757004616513068,0.00175202617236417,-0.0284246043962841,-0.0162431228572951,"GP9, SNORA33, SNORA81, SNORD66, SNORD2, SNORD5, SNORD63, SNORD61, Metazoa_SRP, SNORA18, U4"
"129","chr2",190627263,190627930,668,"*",3,1.90927284387601e-07,0.000581064596971045,0.0266019870993361,0.00176054850910049,0.0160610077543456,0.0102740684975773,"OSGEPL1-AS1, SNORA4, SNORD11, SNORD51, SNORA41, SCARNA6, SNORD39, SNORA75, SNORA48, OSGEPL1, SNORA1, Vault"
